Iteration,Updated MEME Amount,Updated WBNB Amount,Updated Liquidity,Updated sqrtPriceX96,Price of MEME in WBNB,Price of WBNB in MEME,WBNB Value in USD,MEME Value in USD,Market Cap in USD,Remaining MEME %
1,910049306518703033754838174,990000000000000001,100080116579980480031181,7.20438156095468783116411719870957e+32,82686430.55954322397315714993,1.209388279592e-8,544.50000000000000055,6053.316308350008130201531637381247097544,6597.816308350008130751531637381247097544,91.00
2,834945389645284344665461943,1980000000000000001,100080116579980480031181,6.60982336749478008988461308594113e+32,69601811.14029477576872155793,1.43674422205e-8,1089.00000000000000055,6597.816303650814996750827527396790437325,7686.816303650814997300827527396790437325,83.49
3,771292682947645425490924871,2970000000000000001,100080116579980480031181,6.1059183798658855859802320265111e+32,59394033.79653426635640193039,1.683670793308e-8,1633.50000000000000055,7142.316298541148435518514756011586597974,8775.816298541148436068514756011586597974,77.13
4,716657727499368559455059927,3960000000000000001,100080116579980480031181,5.67340218412820516066151239578073e+32,51277633.69106503939222094387,1.950167993369e-8,2178.00000000000000055,7686.8162930340715659387331448417849323465,9864.8162930340715664887331448417849323465,71.67
5,669250955742936625147918361,4950000000000000001,100080116579980480031181,5.29810771552178594922798784528074e+32,44718002.90734385938624074953,2.23623582223e-8,2722.50000000000000055,8231.316287117105734488400812610619307665,10953.816287117105735038400812610619307665,66.93
6,627726938647918356997460460,5940000000000000001,100080116579980480031181,4.96938392031916453803301243374142e+32,39341048.76508812226175317087,2.541874279893e-8,3267.00000000000000055,8775.81628079813175616006527415732291929,12042.81628079813175671006527415732291929,62.77
7,591054651150815709152209469,6930000000000000001,100080116579980480031181,4.67906871557334294336511926102188e+32,34878650.95707021059536170662,2.867083366357e-8,3811.50000000000000055,9320.3162740734364312644921638671228893815,13131.8162740734364318144921638671228893815,59.11
8,558430702693671908994965053,7920000000000000001,100080116579980480031181,4.42080208094627959878940159370393e+32,31134577.48935949309979749564,3.211863081623e-8,4356.00000000000000055,9864.8162669462691153323271735587433656045,14220.8162669462691158823271735587433656045,55.84
9,529219800658797686605556156,8910000000000000001,100080116579980480031181,4.1895547390471779540122261223906e+32,27962536.9340798327025570687,3.57621342569e-8,4900.50000000000000055,10409.31625941337786508766654640035426202,15309.81625941337786563766654640035426202,52.92
10,502912970716050175600706275,9900000000000000001,100080116579980480031181,3.98129740790453656128343390774867e+32,25251668.23540569610606699665,3.960134398558e-8,5445.00000000000000055,10953.816251474923358124192768889278532975,16398.816251474923358674192768889278532975,50.29
11,479097647962450678452007300,10890000000000000001,100080116579980480031181,3.79276402825524936215763423790356e+32,22916721.09268568427992006524,4.363626000227e-8,5989.50000000000000055,11498.31624313103583664062310763123111405,17487.81624313103583719062310763123111405,47.91
12,457435881799001771705479954,11880000000000000001,100080116579980480031181,3.62127922302201618686169015406342e+32,20891270.78690419216945555895,4.786688230698e-8,6534.00000000000000055,12042.816234384337885271091374297415353406,18576.816234384337885821091374297415353406,45.74
